Zeit (s),Drehzahl (U/min)
0.0,5167.96875
0.5,5167.96875
1.0,3875.9765625
1.5,3875.9765625
2.0,3875.9765625
2.5,5167.96875
3.0,5167.96875
3.5,5167.96875
4.0,2583.984375
4.5,5167.96875
5.0,5167.96875
5.5,2583.984375
6.0,2583.984375
6.5,5167.96875
7.0,3875.9765625
7.5,2583.984375
8.0,5167.96875
8.5,5167.96875
9.0,3875.9765625
9.5,2583.984375
10.0,2583.984375
10.5,5167.96875
11.0,3875.9765625
11.5,3875.9765625
12.0,2583.984375
12.5,3875.9765625
13.0,5167.96875
13.5,2583.984375
14.0,2583.984375
14.5,5167.96875
15.0,3875.9765625
15.5,2583.984375
16.0,2583.984375
16.5,3875.9765625
17.0,5167.96875
17.5,3875.9765625
18.0,3875.9765625
18.5,2583.984375
19.0,2583.984375
19.5,2583.984375
20.0,2583.984375
20.5,5167.96875
21.0,2583.984375
21.5,5167.96875
22.0,3875.9765625
22.5,2583.984375
23.0,5167.96875
23.5,3875.9765625
24.0,2583.984375
24.5,5167.96875
25.0,3875.9765625
25.5,3875.9765625
26.0,2583.984375
26.5,5167.96875
27.0,3875.9765625
27.5,2583.984375
28.0,2583.984375
28.5,5167.96875
29.0,3875.9765625
29.5,3875.9765625
30.0,2583.984375
30.5,5167.96875
